Product_Name,Database_System_Code,Category
IGLO 5,IG5,PVC Windows
IGLO 5 CLASSIC,IG5,PVC Windows
IGLO ENERGY,IGE,PVC Windows
IGLO ENERGY CLASSIC,IGE,PVC Windows
IGLO ENERGY ALUCOVER,IGEAC,PVC Windows
IGLO LIGHT,IGL,PVC Windows
IGLO EXT,IG EXT,PVC Windows
IGLO PREMIER,IG PR,PVC Windows
IGLO SLIDE,IG SL,PVC Windows
IGLO EDGE,IGEDGE-R / IGEDGE-S,PVC Windows
IGLO-HS,IG HS,Terrace Systems
IDEAL NEO MD,N76M / N76A,PVC Windows
IDEAL 7000 NL,I7NL,PVC Windows
MB-70 / MB-70HI,MB70,Aluminium Windows
MB-86N SI,MB86,Aluminium Windows
MB-45,MB45,Aluminium Windows
MB-79N SI,MB79 / MB79R,Aluminium Windows
SOFTLINE 68/78/88,ST,Wood Windows
ROLLER SHUTTERS,ROL,Shutters
VENETIAN BLINDS,ZAL,Shutters
MOSQUITO NETS,MKT,Addons
