Code,Name,Name2,FieldCount,IsDoor,IsStulp,PostType,OpeningPerField
B100,"Profil Pośredni","",1,Yes,No,None (Single Field),F1: PP-R-P
B200,"Profil Pośredni 2-skrz. ze słupkiem ruchomym","",2,Yes,Yes,Vertical Mullion + Movable Post (Stulp),F1: PP-R-SBP-L | F2: PP-R-SC-P
B201,"Profil Pośredni 1-skrz. ze stałym naświetlem górnym","",2,Yes,No,Transom,F1: PP-FIX | F2: PP-R-P
B300,"Profil Pośredni 2-skrz. ze stałym naświetlem górnym","",3,Yes,No,Transom + Vertical Mullion,F1: PP-FIX | F2: PP-R-SBP-L | F3: PP-R-SC-P
BR,"Brama Segmentowa DRUTEX","",1,No,No,None (Single Field),F1: X
BS1,"Barierka szklana pojedyncza","",1,No,No,None (Single Field),F1: X
BS2,"Barierka szklana podwójna","",2,No,No,Vertical Mullion,F1: X | F2: X
BS3,"Barierka szklana potrójna","",3,No,No,Vertical Mullion,F1: X | F2: X | F3: X
BS4,"Barierka szklana poczwórna","",4,No,No,Vertical Mullion,F1: X | F2: X | F3: X | F4: X
C,"Cassonetto","",1,No,No,None (Single Field),F1: X
CV202,"Cor Vision Plus (Lewe wiodące) Typ A","",2,Yes,No,Vertical Mullion,F1: SG-PW | F2: SG-PFIX
CV203,"Cor Vision Plus (Prawe wiodące) Typ A","",2,Yes,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LW
D100,"Drzwi 1-skrzydłowe","",1,Yes,No,None (Single Field),F1: DW-P
D101,"Naświetle boczne","",1,No,No,None (Single Field),F1: FIX
D102,"Fest w skrzydle drzwiowym","",1,Yes,No,None (Single Field),F1: DW-FF
D105,"Naświetle górne","",1,No,No,None (Single Field),F1: FIX
D200,"Drzwi 2-skrzydłowe","",2,Yes,Yes,Vertical Mullion + Movable Post (Stulp),F1: DW-SB-L | F2: DW-SC-P
D201,"Drzwi z naświetlem górnym","",2,Yes,No,Transom,F1: FIX | F2: DW-P
D201P,"Drzwi jednoskrzydłowe z naświetlem górnym","",2,No,No,Transom,None
D211,"Drzwi z naświetlem bocznym lewym","",2,Yes,No,Vertical Mullion,F1: DW-FIX | F2: DW-P
D212,"Drzwi z naświetlem bocznym prawym","",2,Yes,No,Vertical Mullion,F1: DW-L | F2: DW-FIX
D300,"Drzwi 2-skrzydłowe z naświetlem górnym","",3,Yes,Yes,Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX | F2: DW-SB-L | F3: DW-SC-P
D303,"Drzwi 1-skrzydłowe z naświetlem górnym i bocznym","",3,Yes,Yes,Vertical Mullion + Transom + Movable Post (Stulp),F1: DW-FIX | F2: FIX | F3: DW-P
D304,"Drzwi 1-skrzydłowe z naświetlem górnym i bocznym","",3,Yes,Yes,Vertical Mullion + Transom + Movable Post (Stulp),F1: FIX | F2: DW-FIX | F3: DW-L
D305,"Drzwi 1-skrzydłowe z naświetlem górnym i bocznym","",4,Yes,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: DW-P | F4: DW-FIX
D306,"Drzwi 1-skrzydłowe z naświetlem górnym i bocznym","",4,Yes,Yes,Vertical Mullion + Transom + Transom + Movable Post (Stulp),F1: FIX | F2: FIX | F3: DW-L | F4: DW-FIX
D310,"Drzwi z naświetlem bocznym lewym i prawym","",3,Yes,No,Vertical Mullion,F1: DW-FIX | F2: DW-P | F3: DW-FIX
D400,"Drzwi z naświetlem lewym, prawym, górnym","",99,Yes,No,Vertical Mullion + Transom + Transom + Transom,F1: FIX | F2: FIX | F3: FIX | F4: DW-P | F5: DW-FIX | F6: DW-FIX
D401,"Drzwi z naświetlem lewym, prawym, górnym","",4,Yes,No,Vertical Mullion + Transom,F1: DW-FIX | F2: FIX | F3: DW-FIX | F4: DW-P
D412,"Drzwi 2-skrzydłowe z naświetlem górnym i bocznym","",4,Yes,Yes,Vertical Mullion + Transom + Vertical Mullion + Movable Post (Stulp),F1: DW-FIX | F2: FIX | F3: DW-SB-L | F4: DW-SC-P
D413,"Drzwi 2-skrzydłowe z naświetlem górnym i bocznym","",4,Yes,Yes,Vertical Mullion + Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX | F2: DW-FIX | F3: DW-SB-L | F4: DW-SC-P
D414,"Drzwi 2-skrzydłowe z naświetlem górnym i bocznym","",99,Yes,Yes,Vertical Mullion + Transom + Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX | F2: FIX | F3: DW-SB-L | F4: DW-SC-P | F5: DW-FIX
D415,"Drzwi 2-skrzydłowe z naświetlem górnym i bocznym","",99,Yes,Yes,Vertical Mullion + Transom + Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX | F2: FIX | F3: DW-SB-L | F4: DW-SC-P | F5: DW-FIX
D416,"Drzwi 2-skrzydłowe z naświetlem bocznym","",4,Yes,Yes,Vertical Mullion + Movable Post (Stulp),F1: DW-FIX | F2: DW-SB-L | F3: DW-SC-P | F4: DW-FIX
D418,"Drzwi 2-skrzydłowe z naświetlem górnym i bocznym","",99,Yes,Yes,Vertical Mullion + Transom + Vertical Mullion + Movable Post (Stulp),F1: DW-FIX | F2: FIX | F3: DW-FIX | F4: DW-SB-L | F5: DW-SC-P
D419,"Drzwi 2-skrzydłowe z naświetlem górnym i bocznym","",99,Yes,Yes,Vertical Mullion + Transom + Transom + Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX | F2: FIX | F3: FIX | F4: DW-SB-L | F5: DW-SC-P | F6: DW-FIX | F7: DW-FIX
